crop,plant_id,plant_type,plant_name,plant_common_name,plant_taxon_level,plant_family,plant_genus,plant_species
genus:lamprocapnos,genus:lamprocapnos,non-crop,Lamprocapnos,Bleeding Heart,Genus,Papaveraceae,Lamprocapnos,NA
genus:lantana,genus:lantana,non-crop,Lantana,Shrub Verbena,Genus,Verbenaceae,Lantana,NA
genus:lathyrus,genus:lathyrus,non-crop,Lathyrus,Pea,Genus,Fabaceae,Lathyrus,NA
genus:lavandula,genus:lavandula,non-crop,Lavandula,Lavender,Genus,Lamiaceae,Lavandula,NA
genus:lavatera,genus:lavatera,non-crop,Lavatera,Tree Mallow,Genus,Malvaceae,Lavatera,NA
genus:leavenworthia,genus:leavenworthia,non-crop,Leavenworthia,Gladecress,Genus,Brassicaceae,Leavenworthia,NA
genus:lechenaultia,genus:lechenaultia,non-crop,Lechenaultia,Lechenaultia,Genus,Goodeniaceae,Lechenaultia,NA
genus:lespedeza,genus:lespedeza,non-crop,Lespedeza,Lespedeza,Genus,Fabaceae,Lespedeza,NA
genus:leucanthemum,genus:leucanthemum,non-crop,Leucanthemum,Daisy,Genus,Asteraceae,Leucanthemum,NA
genus:leucojum,genus:leucojum,non-crop,Leucojum,Snowflake,Genus,Amaryllidaceae,Leucojum,NA
genus:leucothoe,genus:leucothoe,non-crop,Leucothoe,Dog Hobble,Genus,Ericaceae,Leucothoe,NA
genus:liatris,genus:liatris,non-crop,Liatris,Blazing Star,Genus,Asteraceae,Liatris,NA
genus:lilium,genus:lilium,non-crop,Lilium,Lily,Genus,Liliaceae,Lilium,NA
genus:limonium,genus:limonium,non-crop,Limonium,Sea Lavender,Genus,Plumbaginaceae,Limonium,NA
genus:linaria,genus:linaria,non-crop,Linaria,Toadflax,Genus,Plantaginaceae,Linaria,NA
genus:lindera,genus:lindera,non-crop,Lindera,Spicebush,Genus,Lauraceae,Lindera,NA
genus:linnaea,genus:linnaea,non-crop,Linnaea,Beauty Bush,Genus,Caprifoliaceae,Linnaea,NA
genus:linum,genus:linum,non-crop,Linum,Flax,Genus,Linaceae,Linum,NA
genus:liriodendron,genus:liriodendron,non-crop,Liriodendron,Tuliptree,Genus,Magnoliaceae,Liriodendron,NA
genus:listera,genus:listera,non-crop,Listera,Twayblade,Genus,Orchidaceae,Listera,NA
genus:lithophragma,genus:lithophragma,non-crop,Lithophragma,Woodland-star,Genus,Saxifragaceae,Lithophragma,NA
genus:lithospermum,genus:lithospermum,non-crop,Lithospermum,Stoneseed,Genus,Boraginaceae,Lithospermum,NA
genus:lobelia,genus:lobelia,non-crop,Lobelia,Lobelia,Genus,Campanulaceae,Lobelia,NA
genus:lonicera,genus:lonicera,non-crop,Lonicera,Honeysuckle,Genus,Caprifoliaceae,Lonicera,NA
genus:lotus,genus:lotus,non-crop,Lotus,Trefoil,Genus,Fabaceae,Lotus,NA
genus:ludwigia,genus:ludwigia,non-crop,Ludwigia,Primrose-willow,Genus,Onagraceae,Ludwigia,NA
genus:lunaria,genus:lunaria,non-crop,Lunaria,Honesty,Genus,Brassicaceae,Lunaria,NA
genus:lupinus,genus:lupinus,non-crop,Lupinus,Lupine,Genus,Fabaceae,Lupinus,NA
genus:lychnis,genus:lychnis,non-crop,Lychnis,Campion or Catchfly,Genus,Caryophyllaceae,Lychnis,NA
genus:lycium,genus:lycium,non-crop,Lycium,Desert-thorn,Genus,Solanaceae,Lycium,NA
genus:lycopus,genus:lycopus,non-crop,Lycopus,"Water Horehound, Bugleweed",Genus,Lamiaceae,Lycopus,NA
genus:lysimachia,genus:lysimachia,non-crop,Lysimachia,Yellow Loosestrife,Genus,Primulaceae,Lysimachia,NA
genus:lythrum,genus:lythrum,non-crop,Lythrum,Loosestrife,Genus,Lythraceae,Lythrum,NA
genus:macropidia,genus:macropidia,non-crop,Macropidia,Black Kangaroo Paw,Genus,Haemodoraceae,Macropidia,NA
genus:magnolia,genus:magnolia,non-crop,Magnolia,Magnolia,Genus,Magnoliaceae,Magnolia,NA
genus:mahonia,genus:mahonia,non-crop,Mahonia,Barberry,Genus,Berberidaceae,Mahonia,NA
genus:maianthemum,genus:maianthemum,non-crop,Maianthemum,Mayflower,Genus,Asparagaceae,Maianthemum,NA
genus:malaxis,genus:malaxis,non-crop,Malaxis,Adder's Mouth Orchid,Genus,Orchidaceae,Malaxis,NA
genus:malus,genus:malus,non-crop,Malus,"Wild Apple, Crabapple, Crab Apple, Crabtrees",Genus,Rosaceae,Malus,NA
genus:malva,genus:malva,non-crop,Malva,Mallow,Genus,Malvaceae,Malva,NA
genus:mandevilla,genus:mandevilla,non-crop,Mandevilla,"Chilean Jasmine, Rocktrumpet",Genus,Apocynaceae,Mandevilla,NA
genus:matricaria,genus:matricaria,non-crop,Matricaria,Mayweed,Genus,Asteraceae,Matricaria,NA
genus:matthiola,genus:matthiola,non-crop,Matthiola,Stock Flower,Genus,Brassicaceae,Matthiola,NA
genus:mazus,genus:mazus,non-crop,Mazus,Mazus,Genus,Mazaceae,Mazus,NA
genus:meconopsis,genus:meconopsis,non-crop,Meconopsis,Blue Himalayan Poppy,Genus,Papaveraceae,Meconopsis,NA
genus:medeola,genus:medeola,non-crop,Medeola,Indian Cucumber Root,Genus,Liliaceae,Medeola,NA
genus:medicago,genus:medicago,non-crop,Medicago,Alfalfa,Genus,Fabaceae,Medicago,NA
genus:melampodium,genus:melampodium,non-crop,Melampodium,Blackfoot,Genus,Asteraceae,Melampodium,NA
genus:melampyrum,genus:melampyrum,non-crop,Melampyrum,Cow-Wheat,Genus,Orobanchaceae,Melampyrum,NA
genus:melilotus,genus:melilotus,non-crop,Melilotus,Sweetclover,Genus,Fabaceae,Melilotus,NA
genus:melothria,genus:melothria,non-crop,Melothria,Melothria,Genus,Cucurbitaceae,Melothria,NA
genus:mentzelia,genus:mentzelia,non-crop,Mentzelia,Blazingstars,Genus,Loasaceae,Mentzelia,NA
genus:mertensia,genus:mertensia,non-crop,Mertensia,Bluebells,Genus,Boraginaceae,Mertensia,NA
genus:micranthes,genus:micranthes,non-crop,Micranthes,Saxifrage (Alpine Saxifrage),Genus,Saxifragaceae,Micranthes,NA
genus:mikania,genus:mikania,non-crop,Mikania,Hempvine,Genus,Asteraceae,Mikania,NA
genus:mimosa,genus:mimosa,non-crop,Mimosa,Mimosa,Genus,Fabaceae,Mimosa,NA
genus:mimulus,genus:mimulus,non-crop,Mimulus,Monkeyflower,Genus,Phrymaceae,Mimulus,NA
genus:minuartia,genus:minuartia,non-crop,Minuartia,Stitchwort,Genus,Caryophyllaceae,Minuartia,NA
genus:mirabilis,genus:mirabilis,non-crop,Mirabilis,Four O' Clocks,Genus,Nyctaginaceae,Mirabilis,NA
genus:mitchella,genus:mitchella,non-crop,Mitchella,Partridgeberry,Genus,Rubiaceae,Mitchella,NA
genus:mitella,genus:mitella,non-crop,Mitella,Miterwort,Genus,Saxifragaceae,Mitella,NA
genus:monarda,genus:monarda,non-crop,Monarda,"Bergamot, Beebalm",Genus,Lamiaceae,Monarda,NA
genus:monotropa,genus:monotropa,non-crop,Monotropa,Indian Pipe,Genus,Ericaceae,Monotropa,NA
genus:monotropsis,genus:monotropsis,non-crop,Monotropsis,Pygmypipes,Genus,Ericaceae,Monotropsis,NA
genus:muscari,genus:muscari,non-crop,Muscari,Grape Hyacinth,Genus,Asparagaceae,Muscari,NA
genus:myosotis,genus:myosotis,non-crop,Myosotis,"Forget-Me-Not, Scorpion Grass",Genus,Boraginaceae,Myosotis,NA
genus:narcissus,genus:narcissus,non-crop,Narcissus,Daffodil,Genus,Amaryllidaceae,Narcissus,NA
genus:nelumbo,genus:nelumbo,non-crop,Nelumbo,Lotus,Genus,Nelumbonaceae,Nelumbo,NA
genus:nemesia,genus:nemesia,non-crop,Nemesia,Nemesia,Genus,Scrophulariaceae,Nemesia,NA
genus:nemophila,genus:nemophila,non-crop,Nemophila,Baby Blue Eyes,Genus,Boraginaceae,Nemophila,NA
genus:nepeta,genus:nepeta,non-crop,Nepeta,"Catmint, Catnip",Genus,Lamiaceae,Nepeta,NA
genus:nerine,genus:nerine,non-crop,Nerine,Nerine,Genus,Amaryllidaceae,Nerine,NA
genus:neviusia,genus:neviusia,non-crop,Neviusia,Snow-wreath,Genus,Rosaceae,Neviusia,NA
genus:nicotiana,genus:nicotiana,non-crop,Nicotiana,Tobacco,Genus,Solanaceae,Nicotiana,NA
genus:nierembergia,genus:nierembergia,non-crop,Nierembergia,Cupflower,Genus,Solanaceae,Nierembergia,NA
genus:nigella,genus:nigella,non-crop,Nigella,Devil-in-a-bush or Love-in-a-mist,Genus,Ranunculaceae,Nigella,NA
genus:nolana,genus:nolana,non-crop,Nolana,Chilean Bell Flower,Genus,Solanaceae,Nolana,NA
genus:nothoscordum,genus:nothoscordum,non-crop,Nothoscordum,False garlic,Genus,Amaryllidaceae,Nothoscordum,NA
genus:nuphar,genus:nuphar,non-crop,Nuphar,Pond-lily,Genus,Nymphaeaceae,Nuphar,NA
genus:nuttallanthus,genus:nuttallanthus,non-crop,Nuttallanthus,American Toadflax,Genus,Plantaginaceae,Nuttallanthus,NA
genus:nymphaea,genus:nymphaea,non-crop,Nymphaea,Waterlily,Genus,Nymphaeaceae,Nymphaea,NA
genus:obolaria,genus:obolaria,non-crop,Obolaria,Pennywort,Genus,Gentianaceae,Obolaria,NA
genus:oclemena,genus:oclemena,non-crop,Oclemena,Aster,Genus,Asteraceae,Oclemena,NA
genus:oenothera,genus:oenothera,non-crop,Oenothera,Evening Primrose,Genus,Onagraceae,Oenothera,NA
genus:opuntia,genus:opuntia,non-crop,Opuntia,Prickly Pear,Genus,Cactaceae,Opuntia,NA
genus:orbexilum,genus:orbexilum,non-crop,Orbexilum,Leather-root,Genus,Fabaceae,Orbexilum,NA
genus:ornithogalum,genus:ornithogalum,non-crop,Ornithogalum,Star of Bethlehem,Genus,Asparagaceae,Ornithogalum,NA
genus:orobanche,genus:orobanche,non-crop,Orobanche,Broomrape,Genus,Orobanchaceae,Orobanche,NA
genus:osmorhiza,genus:osmorhiza,non-crop,Osmorhiza,"Sweet Cicely, Sweetroot",Genus,Apiaceae,Osmorhiza,NA
genus:osteospermum,genus:osteospermum,non-crop,Osteospermum,African Daisy,Genus,Asteraceae,Osteospermum,NA
genus:oxalis,genus:oxalis,non-crop,Oxalis,Wood Sorrel,Genus,Oxalidaceae,Oxalis,NA
genus:oxypolis,genus:oxypolis,non-crop,Oxypolis,Cowbane,Genus,Apiaceae,Oxypolis,NA
genus:packera,genus:packera,non-crop,Packera,Ragwort,Genus,Asteraceae,Packera,NA
genus:paeonia,genus:paeonia,non-crop,Paeonia,Peony,Genus,Paeoniaceae,Paeonia,NA
genus:panax,genus:panax,non-crop,Panax,Ginseng,Genus,Araliaceae,Panax,NA
genus:papaver,genus:papaver,non-crop,Papaver,Poppy,Genus,Papaveraceae,Papaver,NA
genus:parthenium,genus:parthenium,non-crop,Parthenium,Feverfew,Genus,Asteraceae,Parthenium,NA
genus:passiflora,genus:passiflora,non-crop,Passiflora,Passion Flower,Genus,Passifloraceae,Passiflora,NA
genus:pedicularis,genus:pedicularis,non-crop,Pedicularis,Lousewort,Genus,Orobanchaceae,Pedicularis,NA
genus:pediomelum,genus:pediomelum,non-crop,Pediomelum,Indian Breadroot,Genus,Fabaceae,Pediomelum,NA
genus:pelargonium,genus:pelargonium,non-crop,Pelargonium,"Geranium, Pelargonium, Storksbill",Genus,Geraniaceae,Pelargonium,NA
genus:penstemon,genus:penstemon,non-crop,Penstemon,Beardtongue,Genus,Plantaginaceae,Penstemon,NA
genus:perilla,genus:perilla,non-crop,Perilla,"Perilla, Beefsteak Plant",Genus,Lamiaceae,Perilla,NA
genus:peritoma,genus:peritoma,non-crop,Peritoma,Bee Plant,Genus,Cleomaceae,Peritoma,NA
genus:persicaria,genus:persicaria,non-crop,Persicaria,Smartweed,Genus,Polygonaceae,Persicaria,NA
genus:petalonyx,genus:petalonyx,non-crop,Petalonyx,Sandpaper Plant,Genus,Loasaceae,Petalonyx,NA
genus:petunia,genus:petunia,non-crop,Petunia,Petunia,Genus,Solanaceae,Petunia,NA
genus:phacelia,genus:phacelia,non-crop,Phacelia,Phacelia,Genus,Boraginaceae,Phacelia,NA
genus:philadelphus,genus:philadelphus,non-crop,Philadelphus,Mock Orange,Genus,Hydrangeaceae,Philadelphus,NA
genus:phlox,genus:phlox,non-crop,Phlox,Phlox,Genus,Polemoniaceae,Phlox,NA
genus:phryma,genus:phryma,non-crop,Phryma,Lopseed,Genus,Phrymaceae,Phryma,NA
genus:phyla,genus:phyla,non-crop,Phyla,Fogfruit,Genus,Verbenaceae,Phyla,NA
genus:physalis,genus:physalis,non-crop,Physalis,Groundcherry,Genus,Solanaceae,Physalis,NA
genus:physostegia,genus:physostegia,non-crop,Physostegia,Lionsheart,Genus,Lamiaceae,Physostegia,NA
genus:phytolacca,genus:phytolacca,non-crop,Phytolacca,Pokeweed,Genus,Phytolaccaceae,Phytolacca,NA
genus:pilea,genus:pilea,non-crop,Pilea,Nettle,Genus,Urticaceae,Pilea,NA
genus:plantago,genus:plantago,non-crop,Plantago,Plantain,Genus,Plantaginaceae,Plantago,NA
genus:platanthera,genus:platanthera,non-crop,Platanthera,Fringed Orchid,Genus,Orchidaceae,Platanthera,NA
genus:platycodon,genus:platycodon,non-crop,Platycodon,Balloon Flower,Genus,Campanulaceae,Platycodon,NA
genus:plumeria,genus:plumeria,non-crop,Plumeria,Frangipani,Genus,Apocynaceae,Plumeria,NA
genus:podophyllum,genus:podophyllum,non-crop,Podophyllum,Mayapple,Genus,Berberidaceae,Podophyllum,NA
genus:pogonia,genus:pogonia,non-crop,Pogonia,Pogonia,Genus,Orchidaceae,Pogonia,NA
genus:polemonium,genus:polemonium,non-crop,Polemonium,Jacob's Ladder,Genus,Polemoniaceae,Polemonium,NA
genus:polygala,genus:polygala,non-crop,Polygala,"Milkwort, Polygala",Genus,Polygonaceae,Polygala,NA
genus:polygonatum,genus:polygonatum,non-crop,Polygonatum,Solomon's Seal,Genus,Asparagaceae,Polygonatum,NA
genus:polymnia,genus:polymnia,non-crop,Polymnia,Leafcup,Genus,Asteraceae,Polymnia,NA
genus:pontederia,genus:pontederia,non-crop,Pontederia,Pickerelweed,Genus,Pontederiaceae,Pontederia,NA
genus:ponthieva,genus:ponthieva,non-crop,Ponthieva,Shadow Witch,Genus,Orchidaceae,Ponthieva,NA
genus:porteranthus,genus:porteranthus,non-crop,Porteranthus,Porteranthus,Genus,Rosaceae,Porteranthus,NA
genus:portulaca,genus:portulaca,non-crop,Portulaca,Purslane,Genus,Portulacaceae,Portulaca,NA
genus:potentilla,genus:potentilla,non-crop,Potentilla,Cinquefoil,Genus,Rosaceae,Potentilla,NA
genus:prenanthes,genus:prenanthes,non-crop,Prenanthes,Rattlesnakeroot,Genus,Asteraceae,Prenanthes,NA
genus:primula,genus:primula,non-crop,Primula,Primrose,Genus,Primulaceae,Primula,NA
genus:prosartes,genus:prosartes,non-crop,Prosartes,Fairybells,Genus,Liliaceae,Prosartes,NA
genus:prunella,genus:prunella,non-crop,Prunella,Selfheal,Genus,Lamiaceae,Prunella,NA
genus:prunus,genus:prunus,non-crop,Prunus,Plum,Genus,Rosaceae,Prunus,NA
genus:pueraria,genus:pueraria,non-crop,Pueraria,Kudzu,Genus,Fabaceae,Pueraria,NA
genus:purshia,genus:purshia,non-crop,Purshia,"Cliffrose, Bitterbrush",Genus,Rosaceae,Purshia,NA
genus:pycnanthemum,genus:pycnanthemum,non-crop,Pycnanthemum,Mountain Mint,Genus,Lamiaceae,Pycnanthemum,NA
genus:pyrola,genus:pyrola,non-crop,Pyrola,"Wintergreen, Shinleaf",Genus,Ericaceae,Pyrola,NA
genus:ranunculus,genus:ranunculus,non-crop,Ranunculus,"Buttercup, Spearwort, Water Crowfoot",Genus,Ranunculaceae,Ranunculus,NA
genus:ratibida,genus:ratibida,non-crop,Ratibida,Prairie Coneflower,Genus,Asteraceae,Ratibida,NA
genus:rhamnus,genus:rhamnus,non-crop,Rhamnus,Buckthorn,Genus,Rhamnaceae,Rhamnus,NA
genus:rhexia,genus:rhexia,non-crop,Rhexia,Meadow Beauty,Genus,Melastomataceae,Rhexia,NA
genus:rhododendron,genus:rhododendron,non-crop,Rhododendron,Rhododendron,Genus,Ericaceae,Rhododendron,NA
genus:rhus,genus:rhus,non-crop,Rhus,Sumac,Genus,Anacardiaceae,Rhus,NA
genus:rhynchospora,genus:rhynchospora,non-crop,Rhynchospora,Beaksedge,Genus,Cyperaceae,Rhynchospora,NA
genus:ribes,genus:ribes,non-crop,Ribes,"Currants, Gooseberries",Genus,Grossulariaceae,Ribes,NA
genus:richardia,genus:richardia,non-crop,Richardia,Mexican Clover,Genus,Rubiaceae,Richardia,NA
genus:rondeletia,genus:rondeletia,non-crop,Rondeletia,Rondeletia,Genus,Rubiaceae,Rondeletia,NA
genus:rosa,genus:rosa,non-crop,Rosa,"Rose, Garden Rose, Hybrid Rose, Tea Rose",Genus,Rosaceae,Rosa,NA
genus:rubus,genus:rubus,non-crop,Rubus,Blackberry,Genus,Rosaceae,Rubus,NA
genus:rudbeckia,genus:rudbeckia,non-crop,Rudbeckia,Coneflower,Genus,Asteraceae,Rudbeckia,NA
genus:ruellia,genus:ruellia,non-crop,Ruellia,Wild Petunia,Genus,Acanthaceae,Ruellia,NA
genus:rugelia,genus:rugelia,non-crop,Rugelia,Rugelia,Genus,Asteraceae,Rugelia,NA
genus:russelia,genus:russelia,non-crop,Russelia,Firecracker Plants or Coralblows,Genus,Plantaginaceae,Russelia,NA
genus:sabatia,genus:sabatia,non-crop,Sabatia,Rose Gentian,Genus,Gentianaceae,Sabatia,NA
genus:sagittaria,genus:sagittaria,non-crop,Sagittaria,Arrowhead,Genus,Alismataceae,Sagittaria,NA
genus:salvia,genus:salvia,non-crop,Salvia,Sage,Genus,Lamiaceae,Salvia,NA
genus:sambucus,genus:sambucus,non-crop,Sambucus,Elderberry,Genus,Adoxaceae,Sambucus,NA
genus:sanguinaria,genus:sanguinaria,non-crop,Sanguinaria,Bloodroot,Genus,Papaveraceae,Sanguinaria,NA
genus:sanguisorba,genus:sanguisorba,non-crop,Sanguisorba,Burnet,Genus,Rosaceae,Sanguisorba,NA
genus:saponaria,genus:saponaria,non-crop,Saponaria,Soapwort,Genus,Caryophyllaceae,Saponaria,NA
genus:sarracenia,genus:sarracenia,non-crop,Sarracenia,Pitcherplant,Genus,Sarraceniaceae,Sarracenia,NA
genus:saxifraga,genus:saxifraga,non-crop,Saxifraga,Rockfoil,Genus,Saxifragaceae,Saxifraga,NA
genus:scabiosa,genus:scabiosa,non-crop,Scabiosa,Pincushion Flower,Genus,Caprifoliaceae,Scabiosa,NA
genus:scaevola,genus:scaevola,non-crop,Scaevola,Fan-flower,Genus,Goodeniaceae,Scaevola,NA
genus:scilla,genus:scilla,non-crop,Scilla,Squill,Genus,Asparagaceae,Scilla,NA
genus:scutellaria,genus:scutellaria,non-crop,Scutellaria,Skullcap,Genus,Lamiaceae,Scutellaria,NA
genus:sedum,genus:sedum,non-crop,Sedum,Stonecrop,Genus,Crassulaceae,Sedum,NA
genus:senna,genus:senna,non-crop,Senna,Senna,Genus,Fabaceae,Senna,NA
genus:sesuvium,genus:sesuvium,non-crop,Sesuvium,Sea Purslane,Genus,Aizoaceae,Sesuvium,NA
genus:sherardia,genus:sherardia,non-crop,Sherardia,Sherardia,Genus,Rubiaceae,Sherardia,NA
genus:shortia,genus:shortia,non-crop,Shortia,Shortia,Genus,Diapensiaceae,Shortia,NA
genus:sicyos,genus:sicyos,non-crop,Sicyos,Bur Cucumber,Genus,Cucurbitaceae,Sicyos,NA
genus:silene,genus:silene,non-crop,Silene,"Champion, Catchfly",Genus,Caryophyllaceae,Silene,NA
genus:silphium,genus:silphium,non-crop,Silphium,Rosinweed,Genus,Asteraceae,Silphium,NA
genus:silybum,genus:silybum,non-crop,Silybum,Thistle,Genus,Asteraceae,Silybum,NA
genus:sisyrinchium,genus:sisyrinchium,non-crop,Sisyrinchium,Blue-eyed Grass,Genus,Iridaceae,Sisyrinchium,NA
genus:smallanthus,genus:smallanthus,non-crop,Smallanthus,Leafcup,Genus,Asteraceae,Smallanthus,NA
genus:smilax,genus:smilax,non-crop,Smilax,Greenbrier,Genus,Smilacaceae,Smilax,NA
genus:solanum,genus:solanum,non-crop,Solanum,Nightshade,Genus,Solanaceae,Solanum,NA
genus:solidago,genus:solidago,non-crop,Solidago,Goldenrod,Genus,Asteraceae,Solidago,NA
genus:sparaxis,genus:sparaxis,non-crop,Sparaxis,Harlequin Flower,Genus,Iridaceae,Sparaxis,NA
genus:spathiphyllum,genus:spathiphyllum,non-crop,Spathiphyllum,Peace Lily,Genus,Araceae,Spathiphyllum,NA
genus:sphaeralcea,genus:sphaeralcea,non-crop,Sphaeralcea,Globemallow,Genus,Malvaceae,Sphaeralcea,NA
genus:sphagneticola,genus:sphagneticola,non-crop,Sphagneticola,Creeping-Oxeye,Genus,Asteraceae,Sphagneticola,NA
genus:spigelia,genus:spigelia,non-crop,Spigelia,Pinkroot,Genus,Loganiaceae,Spigelia,NA
genus:spiraea,genus:spiraea,non-crop,Spiraea,Spiraea,Genus,Rosaceae,Spiraea,NA
genus:spiranthes,genus:spiranthes,non-crop,Spiranthes,Ladies Tresses,Genus,Orchidaceae,Spiranthes,NA
genus:stanleya,genus:stanleya,non-crop,Stanleya,Prince's Plume,Genus,Brassicaceae,Stanleya,NA
genus:staphylea,genus:staphylea,non-crop,Staphylea,Bladdernut,Genus,Staphyleaceae,Staphylea,NA
genus:stellaria,genus:stellaria,non-crop,Stellaria,Starwort,Genus,Caryophyllaceae,Stellaria,NA
genus:stenanthium,genus:stenanthium,non-crop,Stenanthium,Death Camas,Genus,Melanthiaceae,Stenanthium,NA
genus:streptanthus,genus:streptanthus,non-crop,Streptanthus,"Jewelflower, Twistflower",Genus,Brassicaceae,Streptanthus,NA
genus:streptocarpus,genus:streptocarpus,non-crop,Streptocarpus,Streptocarpus,Genus,Gesneriaceae,Streptocarpus,NA
genus:stylophorum,genus:stylophorum,non-crop,Stylophorum,Wood Poppy,Genus,Papaveraceae,Stylophorum,NA
genus:stylosanthes,genus:stylosanthes,non-crop,Stylosanthes,Pencilflower,Genus,Fabaceae,Stylosanthes,NA
genus:symphoricarpos,genus:symphoricarpos,non-crop,Symphoricarpos,Snowberry,Genus,Caprifoliaceae,Symphoricarpos,NA
genus:symphyotrichum,genus:symphyotrichum,non-crop,Symphyotrichum,Aster,Genus,Asteraceae,Symphyotrichum,NA
genus:synthyris,genus:synthyris,non-crop,Synthyris,Kittentails,Genus,Plantaginaceae,Synthyris,NA
genus:syringa,genus:syringa,non-crop,Syringa,Lilac,Genus,Oleaceae,Syringa,NA
genus:tagetes,genus:tagetes,non-crop,Tagetes,Marigold,Genus,Asteraceae,Tagetes,NA
genus:tanacetum,genus:tanacetum,non-crop,Tanacetum,Tansy,Genus,Asteraceae,Tanacetum,NA
genus:taraxacum,genus:taraxacum,non-crop,Taraxacum,Dandelion,Genus,Asteraceae,Taraxacum,NA
genus:tephrosia,genus:tephrosia,non-crop,Tephrosia,Hoarypea,Genus,Fabaceae,Tephrosia,NA
genus:teucrium,genus:teucrium,non-crop,Teucrium,Germander,Genus,Lamiaceae,Teucrium,NA
genus:thalictrum,genus:thalictrum,non-crop,Thalictrum,Meadow-rue,Genus,Ranunculaceae,Thalictrum,NA
genus:thaspium,genus:thaspium,non-crop,Thaspium,Meadow Parsnip,Genus,Apiaceae,Thaspium,NA
genus:thermopsis,genus:thermopsis,non-crop,Thermopsis,Goldenbanner,Genus,Fabaceae,Thermopsis,NA
genus:thunbergia,genus:thunbergia,non-crop,Thunbergia,Clockvine,Genus,Acanthaceae,Thunbergia,NA
genus:tiarella,genus:tiarella,non-crop,Tiarella,Foamflower,Genus,Saxifragaceae,Tiarella,NA
genus:tigridia,genus:tigridia,non-crop,Tigridia,"Peacock Flower, Tiger-Flower, Shell Flower",Genus,Iridaceae,Tigridia,NA
genus:tilia,genus:tilia,non-crop,Tilia,"Linden, Basswood",Genus,Malvaceae,Tilia,NA
genus:tipularia,genus:tipularia,non-crop,Tipularia,Crippled Cranefly,Genus,Orchidaceae,Tipularia,NA
genus:tithonia,genus:tithonia,non-crop,Tithonia,Mexican Sunflower,Genus,Asteraceae,Tithonia,NA
genus:torenia,genus:torenia,non-crop,Torenia,"Bluewings, Wishbone Flower",Genus,Linderniaceae,Torenia,NA
genus:torilis,genus:torilis,non-crop,Torilis,Hedge Parsley,Genus,Apiaceae,Torilis,NA
genus:toxicodendron,genus:toxicodendron,non-crop,Toxicodendron,Poison Oak,Genus,Anacardiaceae,Toxicodendron,NA
genus:toxicoscordion,genus:toxicoscordion,non-crop,Toxicoscordion,Death Camas,Genus,Melanthiaceae,Toxicoscordion,NA
genus:trachelium,genus:trachelium,non-crop,Trachelium,Blue Throatwort,Genus,Campanulaceae,Trachelium,NA
genus:tradescantia,genus:tradescantia,non-crop,Tradescantia,Spiderwort,Genus,Commelinaceae,Tradescantia,NA
genus:tragopogon,genus:tragopogon,non-crop,Tragopogon,Goatsbeard,Genus,Asteraceae,Tragopogon,NA
genus:trautvetteria,genus:trautvetteria,non-crop,Trautvetteria,Bugbane,Genus,Ranunculaceae,Trautvetteria,NA
genus:tribulus,genus:tribulus,non-crop,Tribulus,Caltrop,Genus,Zygophyllaceae,Tribulus,NA
genus:trichostema,genus:trichostema,non-crop,Trichostema,Fluxweed,Genus,Lamiaceae,Trichostema,NA
genus:tridax,genus:tridax,non-crop,Tridax,Tridax,Genus,Asteraceae,Tridax,NA
genus:trifolium,genus:trifolium,non-crop,Trifolium,Clover,Genus,Fabaceae,Trifolium,NA
genus:trillium,genus:trillium,non-crop,Trillium,Birthroot,Genus,Melanthiaceae,Trillium,NA
genus:triodanis,genus:triodanis,non-crop,Triodanis,Venus' Looking-glass,Genus,Campanulaceae,Triodanis,NA
genus:triosteum,genus:triosteum,non-crop,Triosteum,Horse Gentian,Genus,Caprifoliaceae,Triosteum,NA
genus:triphora,genus:triphora,non-crop,Triphora,Noddingcaps,Genus,Orchidaceae,Triphora,NA
genus:triteleia,genus:triteleia,non-crop,Triteleia,Triplet-Lily,Genus,Asparagaceae,Triteleia,NA
genus:tritonia,genus:tritonia,non-crop,Tritonia,Flame Freesia,Genus,Iridaceae,Tritonia,NA
genus:trollius,genus:trollius,non-crop,Trollius,Globeflower,Genus,Ranunculaceae,Trollius,NA
genus:tropaeolum,genus:tropaeolum,non-crop,Tropaeolum,Nasturtium,Genus,Tropaeolaceae,Tropaeolum,NA
genus:tulipa,genus:tulipa,non-crop,Tulipa,Tulip,Genus,Liliaceae,Tulipa,NA
genus:ulmus,genus:ulmus,non-crop,Ulmus,Elms,Genus,Ulmaceae,Ulmus,NA
genus:ursinia,genus:ursinia,non-crop,Ursinia,Ursinia,Genus,Asteraceae,Ursinia,NA
genus:utricularia,genus:utricularia,non-crop,Utricularia,Bladderwort,Genus,Lentibulariaceae,Utricularia,NA
genus:uvularia,genus:uvularia,non-crop,Uvularia,Bellwort,Genus,Colchicaceae,Uvularia,NA
genus:vaccaria,genus:vaccaria,non-crop,Vaccaria,Soapwort,Genus,Caryophyllaceae,Vaccaria,NA
genus:vaccinium,genus:vaccinium,non-crop,Vaccinium,Blueberry,Genus,Ericaceae,Vaccinium,NA
genus:verbascum,genus:verbascum,non-crop,Verbascum,Mullein,Genus,Scrophulariaceae,Verbascum,NA
genus:verbena,genus:verbena,non-crop,Verbena,Vervain,Genus,Verbenaceae,Verbena,NA
genus:verbesina,genus:verbesina,non-crop,Verbesina,Crownbeard,Genus,Asteraceae,Verbesina,NA
